titulo	direccion	precio	Baños	Piso de duela	Armarios empotrados	Roof Garden	Totalmente cercado	Estacionamientos	Estacionamiento techado	Construidos (m²)	Nivel	Mantenimiento	Habitaciones (en total)	Superficie construida (m²)	Amueblado	Recámaras	Jardín	Internet de banda ancha disponible	Estacionamiento vigilado	Calefacción	Disponible desde	Balcón	Acceso a TV de paga	Patio	Garaje	Jacuzzi	Estudio	Piso de loseta	Sistema de alarma	Cancha de tenis	Cocina Equipada	Cuarto de servicio	Gimnasio	Estacionamiento abierto	Área de juegos infantiles	Construido (Año)	Aire acondicionado	Condiciones de Precio	Terraza	Área de entretenimiento al aire libre	Estacionamiento para Visitas	Intercomunicador	Chimenea	Terreno (m²)	Alberca
CASA EN CLUB DE GOLF LAS CRUCES, APODACA	Las Cruces Club de Golf, Apodaca	$ 4,500,000	3		True		True	2	True	235					No	3	True				26/12/22			True			True				True	True					True		True					330	
CASA EN VENTA COLONIA HACIENDA MITRAS MONTERREY NUEVO LEON	Hacienda Mitras, Monterrey	$ 1,800,000	2					2		142					No	4					25/03/23										True													160	
Casa en Venta Privada del Fresno Zona Cumbres	Las Lomas Sector Jardines, García	$ 2,990,000	2					2		209						3																												223	
Casa En Venta Cumbres Nuevo Leon Fracc Altrysa con acabados de lujo	Gran Reserva, García	$ 2,437,000	2		True		True	2	True	162					No	3	True	True	True	True	03/02/23	True	True	True			True		True		True			True	True				True	True	True	True		119	True
Casa en venta La joya carretera nacional	La Joya, Monterrey	$ 20,500,000	6		True			3	True	750					No	4		True		True	05/01/23	True	True	True			True				True	True		True			True		True		True			424	
ETNA. Valle de Cumbres Premier	Valle de Cumbres, García	$ 5,600,000	3.5					2		215			6.5			3																												395	
Casa en Venta, Col. Chapultepec, San Nicolás de los Garza	Chapultepec, San Nicolás de los Garza	$ 6,000,000	2					3		120					No	4								True				True						True										500	
Casa en Venta en Mítica Residencial  en Carretera Nacional	El Barro, Santiago	$ 9,500,000	6					2		340					No	3																												205	
CASA EN VENTA, COL. DOS RIOS, GUADALUPE, N.L. $2'800,000.00	2 Ríos, Guadalupe	$ 2,800,000	2.5		True		True	3	True	294					No	3	True	True		True			True	True	True	True		True	True		True				True		True		True	True				184	
casa en cumbres elite premier	Cumbres Elite Premier, García	$ 5,450,000	4					2	True	278					No	3						True		True					True		True	True			True		True		True					144	
Casa Nueva en Venta Loma Bonita	Loma Bonita, Monterrey	$ 9,900,000	4					3		402						3																												373	
CASA EN VENTA EN ESQUINA FRACC. PRIVADO	García	$ 2,350,000	2.5					2		140					No	3																												118	
Casa en venta, Rincón de San Gerardo El Barro, N.L	El Barro, Santiago	$ 5,890,000	3					2		240						3																												206	
Casa en venta Flor de Piedra en Monterrey Nuevo León	Flor de Piedra, Monterrey	$ 20,900,000	5					3		723						4																				2013								514	
Casa en Venta en Valle, San Pedro Garza García., N.L. -7964	Del Valle, San Pedro Garza García	$ 30,500,000	4					3		582						3																												453	
Amplia Casa en Santiago Nuevo León Club de Golf Las Misiones.	Las Misiones, Santiago	$ 29,950,000	6					6		1300						6																												1514	
Casa Carretera Nacional, Colonia La Toscana, Monterrey	La Toscana, Monterrey	$ 10,500,000	5.5		True		True	2	True	392					No	3	True		True	True		True	True	True	True		True	True			True	True			True	4	True		True	True	True			443	
Casa en Venta en Amorada Privada Residencial en Carretera Nacional	Los Rodriguez, Santiago	$ 6,750,000	3.5					3		350					No	3		True					True												True				True		True			250	True
RESIDENCIA NIVEL PLUS/ FRACCIONAMIENTO PRIVADO	Cumbres Elite, Monterrey	$ 7,300,000	4					4		388					No	3																												162	
CASA EN VENTA, COLONIA CUMBRES ELITE PREMIER, GARCIA NUEVO LEON	Cumbres Elite Premier, García	$ 5,400,000	4				True	2	True	300					No	3					28/12/22	True		True							True	True			True		True		True					144	
Casa en Colinas de San Jeronimo	Colinas de San Jerónimo, Monterrey	$ 11,475,000	3							365						3																				1993								426	
CASA EN VENTA CARRETERA NACIONAL CUMBRES DE SANTIAGO	Santiago Centro, Santiago	$ 4,400,000	3					2		250						3																												200	
CASA EN VENTA  GUADALUPE	Provivienda de Guadalupe, Guadalupe	$ 2,300,000	2					2		187						4																												160	
Venta de Casa Carretera Nacional El Uro, Priv. Dos Encinos	El Uro, Monterrey	$ 15,500,000	4					3		470						3																												427	
Quinta en venta en allende el fraile	Rio Ramos, Allende	$ 18,000,000	2			True		4		1					No	3	True				20/02/23										True			True							True			10000	True
Casa En Venta Monterrey Nuevo Leon Fracc ALTRYSA Muy Cerca De Avenida Leones	Montenova, García	$ 2,426,000	34		True			2	True	210					No	3		True			14/11/22	True	True	True				True			True	True					True		True	True	True			200	True
Casa en VENTA	La Cima, San Pedro Garza García	$ 21,900,000	4					4		553					No	3	True			True							True				True	True					True		True					600	True
CASA EN CENTRO CALLE RUPERTO MARTINEZ	Centro, Monterrey	$ 3,800,000	2.5					1		290					No	3																												116	
CASA EN VENTA EN CERRADAS DE CUMBRES MONTERREY NUEVO LEON	Cerradas Cumbres, Monterrey	$ 3,950,000	4.5		True			2		131					No	4					25/03/23										True						True		True					236	True
CASA EN VENTA, COLONIA PASEO DEL ACUEDUCTO, JUAREZ NUEVO LEON	Paseo de Acueducto Juárez, Juárez	$ 650,000	1					1		51					No	2					25/03/23																							90	
Excelente Oportunidad Casa en Venta	Villa Montaña, San Pedro Garza García	$ 19,850,000	3	True	True			2		380					No	3	True	True		True			True		True	True	True	True			True	True				2005	True	contado	True					580	
Casa Cumbres Elite	Cumbres Elite, Monterrey	$ 6,275,000	4					2		294						3																				2008								160	
Casa en venta en Las Águilas en Guadalupe Nuevo León	Las Águilas, Guadalupe	$ 23,500,000	3					3		600						3																												420	
CASA PORTAL DEL NORTE	Portal del Norte, General Zuazua	$ 9,000,000	6		True		True	3	True	350					No	5				True				True			True				True	True					True		True					1500	
VENTA DE QUINTA JUAREZ NUEVO LEON	Juárez, Juárez	$ 18,200,000	9		True		True	8		1218					No	8	True		True	True	04/07/20	True	True	True	True	True	True	True			True	True		True			True		True	True	True	True	True	1943	True
2 niveles patio amplio	Valle de Cumbres Premier, García	$ 5,690,813	3.5					2		217					No	3					15/04/23																							180	
Quinta en el Barrial N:L:	Valle Escondido, Santiago	$ 10,600,000	2					10		150						2																				2014								1405	
Venta Casa Colonia San Genaro	San Genaro 1er Sector, Cadereyta Jiménez	$ 750,000	1					1		45						2					12/07/22																							96	
CASA EN VENTA EN SIERRA ALTA	Sierra Alta 1a Etapa, Monterrey	$ 23,500,000	5					3		725						4																												645	
CASA EN VENTA EN LA JOYA	La Joya, Monterrey	$ 20,500,000	6					4		750						5																												424	
Casa en Venta Zona Cumbres, Nuevo Leon	Cumbres Elite Premier, García	$ 3,895,000	3					2		231					No	3					02/02/23																							136	
Casa en Venta, Paseo San Javier, Pesquería Nuevo León	Lomas de San Martín, Pesquería	$ 450,000	1					1		103						2																												90	
CASA EN VENTA, COLONIA VALLE DEL CAMPESTRE, SAN PEDRO GARZA GARCIA NUEVO LEON	Valle Del Campestre, San Pedro Garza García	$ 20,000,000	4					2		420					No	3					25/03/23						True																	620	
CASA EN VENTA PRIVADA LORETO CARRETERA NACIONAL	La Joya, Monterrey	$ 12,500,000	3					3		397						3																												297	
CASA A ESTRENAR EN VENTA CUMBRES (PONIENTE)	Montenova, García	$ 3,013,100	2					2	True	160					No	3					09/02/21							True							True					True				112	True
Casa en Venta en Murano Residencial, Garcia.	Murano, García	$ 2,400,000	1	True	True			2		119					No	3												True			True			True										119	
Casa Valle de Cumbres Premier	García	$ 5,470,000	5		True			3	True	249					No	3	True				06/01/23	True		True			True		True		True				True		True		True	True				228	
ETNA PLUS. Valle de Cumbres Premier	Valle de Cumbres, García	$ 6,500,000	4.5					2		246.46			7.5			3																												426.46	
SIERRA ALTA / RESIDENCIA PLUS/ 9o Sector	Sierra Alta 2a Etapa, Monterrey	$ 19,500,000	5					4		586						4																												162	
Nueva 3 niveles con jardín interior	Valle de Cumbres Premier, García	$ 6,691,750	4.5					2		252					No	3					01/04/23															2023								180	
Venta Casa Carretera Nacional, Bosques de las Misiones	Yerbaniz, Santiago	$ 9,100,000	5					3		380					No	3																												300	
Casa en Venta Fracc. Mitica en Carretera Nacional	El Barro, Santiago	$ 8,500,000	4			True		2	True	320					No	3	True							True	True							True			True				True	True				342.07	
Casa en Venta en Pedregal la Silla 5to Sector	Pedregal La Silla, Monterrey	$ 6,500,000	4					2	True	157.11					Sí	3					14/02/23	True		True	True																			263.81	
Casa en venta Valle del Cristal, CArretera Nacional, Zona Sur	Valle de Cristal, Monterrey	$ 16,500,000	6	True		True		10	True	592						3	True	True		True	07/04/21		True	True	True		True	True		True	True	True		True	True		True			True	True			936	True
Quinta en Venta en Mil Encinos	Montemorelos	$ 7,500,000	5.5					3		240						3	True																											2900	
CASA EN VENTA FRACC. CAROLCO, CARRETERA NACIONAL, MONTERREY, N.L. $11'950,000.00	Carolco, Monterrey	$ 11,950,000	4.5	True	True			3	True	414					No	3	True	True	True			True	True	True	True		True	True		True	True	True	True	True	True		True		True	True	True			294.3	True
Casa en Venta en Montenova Residencial	Montenova, García	$ 4,100,000	3.5					2		214					No	3																												112	
Casa en venta en Juárez, hacienda de san josé.	San Jose, Juárez	$ 410,000	1					1		40					No	2																												113	
Casa en  Pre venta en Las Águilas  Residencial en Guadalupe Nuevo León	Las Águilas, Guadalupe	$ 17,880,000	3					3		450						3																												427	
EXCELENTE CASA EN SABINAS HIDALGO    INFORMES :8120404011	Pablo Santos, Sabinas Hidalgo	$ 1,700,000	2				True	1	True	293					No	3		True			22/04/23		True	True			True																	438	
VENTA CASA MONTERREY	Residencial Cumbres, Monterrey	$ 11,500,000	3.5					6	True	426						3	True			True	05/07/22		True	True		True	True				True	True					True		True					480	True
Casa En Venta Monterrey Nuevo Leon Fracc ARBOREA Muy Cerca De Avenida Leones	Montenova, García	$ 2,820,000	3					2		190					No	3					14/11/22																							160	
Dalia. Montellán	Monterrey	$ 5,400,000	3.5					3		228.4			6.5			3																												347.4	
Casa en Venta Castaños del Vergel Carretera Nacional	La Joya, Monterrey	$ 10,650,000	4					3		414					No	3																												251	
Casa Venta en Carretera Nacional, en Las Esmeraldas Residencial	Los Cristales, Monterrey	$ 8,400,000	6					3		365					No	3																												200	
CASA EN VENTA EN MITICA	Centro, Monterrey	$ 8,250,000	3					2		345						3																												250	
CASA EN VENTA, COLONIA VALLE DE CRISTAL, MONTERREY NUEVO LEON	Valle de Cristal, Monterrey	$ 9,350,000	3					3	True	431					No	3					25/03/23			True							True								True					323	
CASA EN VENTA CAROLCO MONTERREY SUR	Carolco, Monterrey	$ 13,500,000	5					3		583						4																												290	
CASA EN VENTA  CARRETERA NACIONAL SIERRA ALTA 9 SECTOR	Sierra Alta 1a Etapa, Monterrey	$ 19,500,000	4					4		600						4																												550	
CASA EN VENTA  CARRETERA NACIONAL LA JOYA	La Joya, Monterrey	$ 21,500,000	6					3		750						4																				2020								434	
CASA EN VENTA EN ESPACIO CUMBRES a 1 min de Leones, SUPER EQUIPADA!!	Fraccionamiento Espacio Cumbres, Monterrey	$ 4,320,000	3.5		True		True	2	True	284					Sí	3	True	True			11/04/23	True	True	True							True				True		True			True				150	
Casa en Venta en Lomas del Vergel, Zona Sur de Monterrey	Lomas del Vergel, Monterrey	$ 6,500,000	5			True		2		334					No	3		True					True								True	True			True				True		True			136	
Valle de Cumbres Premier	Valle de Cumbres, García	$ 5,600,000	3.5					2		215			6.5			3																												395	
TEIDE. Valle de Cumbres Premier	Valle de Cumbres, García	$ 5,700,000	3.5					2		217.43			6.5			3																												397.43	
ARANDA PLUS. Valle de Cumbres Premier	Valle de Cumbres, García	$ 6,700,000	4.5					2		251.83			7.5			3																												431.83	
Casa en Venta, Sienna Residencial, Carretera Nacional, URO, Monterrey, Equipada	Granadas de Laderas, Monterrey	$ 12,450,000	4.5					3	True	450						3	True		True								True				True	True			True									336	True
Casa en Venta Fracc. Valle de Cristal en Carretera Nacional	Valle de Cristal, Monterrey	$ 8,500,000	4					3	True	300					No	3						True		True	True							True			True					True				313.5	
Espectacular Casa en Carretera Nacional. Los Olivos Residencial	El Barro, Santiago	$ 11,500,000	5.5					2		529					No	3																												300	
Casa en venta en Col. Laderas del Mirador F XXI, Monterrey	Laderas Del Mirador, Monterrey	$ 2,850,000	2							158						7																				1980									
Casa en Venta en Col. Fama II	La Fama, Santa Catarina	$ 2,000,000	1					4		125						3																				1985									
Casa parte alta Cima de la Montaña junto a Reserva Federal.	Cima de las Cumbres, Monterrey	$ 8,500,000	5			True		2	True	468					No	3						True		True								True							True					200	
